run_utc,fit_dc,dc_mode,rho_global,test_rows,nll_independent,nll_dc,0-0_empirical,0-0_predicted,0-0_delta_pp,1-0_empirical,1-0_predicted,1-0_delta_pp,0-1_empirical,0-1_predicted,0-1_delta_pp,1-1_empirical,1-1_predicted,1-1_delta_pp
2026-02-19T07:26:29.940292+00:00,True,Dixon-Coles,-0.04599999999999998,12278,2.8831147836348316,2.8831292470993097,0.06833360482163219,0.07933525224034593,1.1001647418713747,0.1031927023945268,0.0979255914308981,-0.5267110963628696,0.07835152304935657,0.07969307230243951,0.1341549253082941,0.12330998533963186,0.11930128662917265,-0.40086987104592103
2026-02-19T08:46:38.153645+00:00,True,Dixon-Coles,0.0,12278,2.882468441605323,2.882468441605323,0.06833360482163219,0.07391847311140998,0.5584868289777791,0.1031927023945268,0.10304378288303549,-0.0148919511491305,0.07835152304935657,0.08485056160986132,0.6499038560504753,0.12330998533963186,0.11404001614458323,-0.9269969195048633
2026-02-19T10:17:53.541977+00:00,True,Dixon-Coles,0.0,12499,2.883455948162741,2.883455948162741,0.0687254980398432,0.0741773220912071,0.5451824051363907,0.1031282502600208,0.10321477379191792,0.00865235318971147,0.07672613809104728,0.08507249027168154,0.8346352180634259,0.12256980558444676,0.11416212290014326,-0.8407682684303502
2026-02-23T08:53:33.895119+00:00,True,Dixon-Coles,-0.0,12499,2.883166159545664,2.883166159545664,0.0687254980398432,0.07414184252383084,0.5416344483987645,0.1031282502600208,0.10320530954789804,0.007705928787724026,0.07672613809104728,0.0850399638720851,0.8313825781037815,0.12256980558444676,0.11416330361231106,-0.8406501972135703
2026-02-23T10:32:19.051854+00:00,True,Dixon-Coles,-0.0,12499,2.883339313057941,2.883339313057941,0.0687254980398432,0.07410128531972071,0.5375787279877517,0.1031282502600208,0.10320043535200378,0.007218509198297918,0.07672613809104728,0.08497136213031362,0.8245224039266336,0.12256980558444676,0.11412957681491703,-0.8440228769529725
2026-02-23T11:36:58.938221+00:00,True,Dixon-Coles,-0.0,12499,2.883339313057941,2.883339313057941,0.0687254980398432,0.07410128531972071,0.5375787279877517,0.1031282502600208,0.10320043535200378,0.007218509198297918,0.07672613809104728,0.08497136213031362,0.8245224039266336,0.12256980558444676,0.11412957681491703,-0.8440228769529725
2026-02-23T12:44:02.018669+00:00,True,Dixon-Coles,-0.0,12499,2.8832630654686398,2.8832630654686398,0.0687254980398432,0.07413277646043542,0.540727842059223,0.1031282502600208,0.10319222759519991,0.0063977335179113415,0.07672613809104728,0.08504139736216217,0.8315259271114885,0.12256980558444676,0.11416026446308669,-0.8409541121360067
2026-02-23T14:17:44.523044+00:00,True,Dixon-Coles,-0.0,12499,2.883234176375453,2.883234176375453,0.0687254980398432,0.07405827193741793,0.5332773897574736,0.1031282502600208,0.10309871485875248,-0.0029535401268321326,0.07672613809104728,0.08501858301175391,0.8292444920706632,0.12256980558444676,0.1141378438924069,-0.8431961692039858
2026-02-23T14:39:47.529703+00:00,True,Dixon-Coles,-0.0,12499,2.883234176375453,2.883234176375453,0.0687254980398432,0.07405827193741793,0.5332773897574736,0.1031282502600208,0.10309871485875248,-0.0029535401268321326,0.07672613809104728,0.08501858301175391,0.8292444920706632,0.12256980558444676,0.1141378438924069,-0.8431961692039858
2026-03-02T15:15:25.699192+00:00,True,Dixon-Coles,-0.0,12499,2.883184529637839,2.883184529637839,0.0687254980398432,0.07401143059408555,0.5285932554242354,0.1031282502600208,0.1031138154003083,-0.0014434859712503245,0.07672613809104728,0.08490460145642065,0.8178463365373367,0.12256980558444676,0.1140792403365983,-0.8490565247848456
